Individual,Population,C1,C2
QAc-G-0029,AP,0.971,0.029
QAc-G-0030,AP,0.988,0.012
QAc-G-0031,AP,0.99,0.01
NA,NA,0,0
QAc-G-0061,Arnold,0.966,0.034
QAc-G-0062,Arnold,0.157,0.843
QAc-G-0063,Arnold,0.712,0.288
QAc-G-0064,Arnold,0.016,0.984
QAc-G-0065,Arnold,0.022,0.978
QAc-G-0066,Arnold,0.989,0.011
QAc-G-0067,Arnold,0.059,0.941
QAc-G-0068,Arnold,0.551,0.449
QAc-G-0070,Arnold,0.62,0.38
QAc-G-0071,Arnold,0.986,0.014
QAc-G-0072,Arnold,0.981,0.019
QAc-G-0073,Arnold,0.024,0.976
QAc-G-0074,Arnold,0.191,0.809
QAc-G-0075,Arnold,0.046,0.954
QAc-G-0076,Arnold,0.044,0.956
QAc-G-0077,Arnold,0.978,0.022
QAc-G-0078,Arnold,0.989,0.011
QAc-G-0079,Arnold,0.986,0.014
QAc-G-0080,Arnold,0.57,0.43
QAc-G-0081,Arnold,0.029,0.971
QAc-G-0082,Arnold,0.017,0.983
QAc-G-0083,Arnold,0.55,0.45
NA,NA,0,0
QAc-G-0001,Bartlett,0.989,0.011
QAc-G-0002,Bartlett,0.988,0.012
NA,NA,0,0
QAc-G-0285,CBG,0.854,0.146
QAc-G-0286,CBG,0.987,0.013
QAc-G-0287,CBG,0.989,0.011
QAc-G-0288,CBG,0.985,0.015
QAc-G-0289,CBG,0.985,0.015
QAc-G-0290,CBG,0.978,0.022
QAc-G-0291,CBG,0.991,0.009
QAc-G-0292,CBG,0.534,0.466
QAc-G-0293,CBG,0.991,0.009
QAc-G-0294,CBG,0.027,0.973
QAc-G-0295,CBG,0.09,0.91
QAc-G-0296,CBG,0.025,0.975
QAc-G-0297,CBG,0.011,0.989
QAc-G-0298,CBG,0.027,0.973
QAc-G-0299,CBG,0.043,0.957
QAc-G-0300,CBG,0.012,0.988
QAc-G-0301,CBG,0.053,0.947
QAc-G-0302,CBG,0.016,0.984
QAc-G-0303,CBG,0.02,0.98
QAc-G-0304,CBG,0.988,0.012
QAc-G-0305,CBG,0.915,0.085
QAc-G-0306,CBG,0.989,0.011
QAc-G-0307,CBG,0.929,0.071
QAc-G-0308,CBG,0.984,0.016
QAc-G-0309,CBG,0.981,0.019
QAc-G-0310,CBG,0.986,0.014
QAc-G-0311,CBG,0.991,0.009
QAc-G-0312,CBG,0.325,0.675
QAc-G-0313,CBG,0.071,0.929
QAc-G-0314,CBG,0.018,0.982
QAc-G-0315,CBG,0.054,0.946
QAc-G-0316,CBG,0.117,0.883
NA,NA,0,0
QAc-G-0032,DBG,0.023,0.977
QAc-G-0033,DBG,0.027,0.973
QAc-G-0034,DBG,0.055,0.945
QAc-G-0035,DBG,0.03,0.97
QAc-G-0036,DBG,0.062,0.938
QAc-G-0037,DBG,0.136,0.864
QAc-G-0038,DBG,0.009,0.991
QAc-G-0039,DBG,0.072,0.928
QAc-G-0040,DBG,0.054,0.946
QAc-G-0041,DBG,0.014,0.986
QAc-G-0042,DBG,0.02,0.98
QAc-G-0043,DBG,0.072,0.928
QAc-G-0044,DBG,0.028,0.972
QAc-G-0045,DBG,0.091,0.909
QAc-G-0046,DBG,0.041,0.959
QAc-G-0047,DBG,0.077,0.923
QAc-G-0048,DBG,0.014,0.986
QAc-G-0049,DBG,0.989,0.011
QAc-G-0050,DBG,0.402,0.598
QAc-G-0051,DBG,0.989,0.011
QAc-G-0052,DBG,0.773,0.227
QAc-G-0053,DBG,0.976,0.024
QAc-G-0054,DBG,0.291,0.709
QAc-G-0055,DBG,0.512,0.488
QAc-G-0056,DBG,0.08,0.92
QAc-G-0057,DBG,0.985,0.015
QAc-G-0058,DBG,0.986,0.014
QAc-G-0059,DBG,0.371,0.629
QAc-G-0060,DBG,0.898,0.102
NA,NA,0,0
QAc-G-0276,FGT,0.968,0.032
QAc-G-0279,FGT,0.989,0.011
QAc-G-0280,FGT,0.952,0.048
QAc-G-0281,FGT,0.986,0.014
NA,NA,0,0
QAc-G-0018,HBG,0.111,0.889
