Sample.Name,Pop,C1,C2
TMA-ZAIN-G-1,MBC,0.986,0.014
TMA-ZAIN-G-2,MBC,0.837,0.163
TMA-ZAIN-G-3,MBC,0.994,0.006
TMA-ZAIN-G-4,MBC,0.994,0.006
TMA-ZAIN-G-5,MBC,0.984,0.016
TMA-ZAIN-G-6,MBC,0.993,0.007
TMA-ZAIN-G-7,MBC,0.993,0.007
TMA-ZAIN-G-8,MBC,0.994,0.006
TMA-ZAIN-G-9,MBC,0.895,0.105
TMA-ZAIN-G-10,MBC,0.995,0.005
TMA-ZAIN-G-11,MBC,0.984,0.016
TMA-ZAIN-G-12,MBC,0.991,0.009
TMA-ZAIN-G-13,MBC,0.993,0.007
TMA-ZAIN-G-14,MBC,0.988,0.012
TMA-ZAIN-G-15,MBC,0.992,0.008
TMA-ZAIN-G-16,MBC,0.995,0.005
TMA-ZAIN-G-17,MBC,0.996,0.004
TMA-ZAIN-G-18,MBC,0.993,0.007
TMA-ZAIN-G-19,MBC,0.994,0.006
TMA-ZAIN-G-20,MBC,0.995,0.005
TMA-ZAIN-G-21,MBC,0.995,0.005
TMA-ZAIN-G-22,MBC,0.994,0.006
TMA-ZAIN-G-23,MBC,0.993,0.007
TMA-ZAIN-G-24,MBC,0.994,0.006
TMA-ZAIN-G-25,MBC,0.959,0.041
TMA-ZAIN-G-26,MBC,0.993,0.007
TMA-ZAIN-G-27,MBC,0.98,0.02
TMA-ZAIN-G-28,MBC,0.784,0.216
TMA-ZAIN-G-29,MBC,0.987,0.013
TMA-ZAIN-G-30,MBC,0.975,0.025
TMA-ZAIN-G-31,MBC,0.993,0.007
TMA-ZAIN-G-32,MBC,0.994,0.006
TMA-ZAIN-G-33,MBC,0.994,0.006
TMA-ZAIN-G-34,MBC,0.993,0.007
TMA-ZAIN-G-35,MBC,0.994,0.006
TMA-ZAIN-G-36,MBC,0.994,0.006
TMA-ZAIN-G-37,MBC,0.994,0.006
TMA-ZAIN-G-38,MBC,0.992,0.008
TMA-ZAIN-G-39,MBC,0.994,0.006
TMA-ZAIN-G-40,MBC,0.995,0.005
TMA-ZAIN-G-41,MBC,0.992,0.008
TMA-ZAIN-G-42,MBC,0.992,0.008
TMA-ZAIN-G-43,MBC,0.988,0.012
TMA-ZAIN-G-44,MBC,0.991,0.009
TMA-ZAIN-G-45,MBC,0.992,0.008
TMA-ZAIN-G-46,MBC,0.995,0.005
TMA-ZAIN-G-47,MBC,0.993,0.007
TMA-ZAIN-G-48,MBC,0.994,0.006
TMA-ZAIN-G-49,MBC,0.989,0.011
TMA-ZAIN-G-50,MBC,0.994,0.006
TMA-ZAIN-G-51,MBC,0.827,0.173
TMA-ZAIN-G-52,MBC,0.862,0.138
TMA-ZAIN-G-53,MBC,0.986,0.014
TMA-ZAIN-G-54,MBC,0.992,0.008
TMA-ZAIN-G-55,MBC,0.993,0.007
TMA-ZAIN-G-56,MBC,0.994,0.006
TMA-ZAIN-G-57,MBC,0.994,0.006
TMA-ZAIN-G-58,MBC,0.993,0.007
TMA-ZAIN-G-59,MBC,0.993,0.007
TMA-ZAIN-G-60,MBC,0.991,0.009
TMA-ZAIN-G-61,MBC,0.993,0.007
TMA-ZAIN-G-62,MBC,0.988,0.012
TMA-ZAIN-G-63,MBC,0.989,0.011
TMA-ZAIN-G-64,MBC,0.99,0.01
TMA-ZAIN-G-65,MBC,0.994,0.006
TMA-ZAIN-G-66,MBC,0.992,0.008
TMA-ZAIN-G-67,MBC,0.992,0.008
TMA-ZAIN-G-68,MBC,0.993,0.007
TMA-ZAIN-G-69,MBC,0.984,0.016
TMA-ZAIN-G-70,MBC,0.987,0.013
TMA-ZAIN-G-71,MBC,0.973,0.027
TMA-ZAIN-G-72,MBC,0.993,0.007
TMA-ZAIN-G-73,MBC,0.988,0.012
TMA-ZAIN-G-74,MBC,0.987,0.013
TMA-ZAIN-G-75,MBC,0.963,0.037
TMA-ZAIN-G-76,MBC,0.975,0.025
TMA-ZAIN-G-77,MBC,0.994,0.006
TMA-ZAIN-G-78,MBC,0.994,0.006
TMA-ZAIN-G-79,MBC,0.994,0.006
TMA-ZAIN-G-80,MBC,0.994,0.006
TMA-ZAIN-G-81,MBC,0.992,0.008
TMA-ZAIN-G-82,MBC,0.986,0.014
TMA-ZAIN-G-83,MBC,0.992,0.008
TMA-ZAIN-G-84,MBC,0.995,0.005
TMA-ZAIN-G-85,MBC,0.994,0.006
TMA-ZAIN-G-86,MBC,0.993,0.007
TMA-ZAIN-G-87,MBC,0.993,0.007
TMA-ZAIN-G-88,MBC,0.994,0.006
TMA-ZAIN-G-89,MBC,0.994,0.006
TMA-ZAIN-G-90,MBC,0.994,0.006
TMA-ZAIN-G-91,MBC,0.994,0.006
TMA-ZAIN-G-92,MBC,0.994,0.006
TMA-ZAIN-G-93,MBC,0.994,0.006
TMA-ZAIN-G-94,MBC,0.994,0.006
TMA-ZAIN-G-95,MBC,0.765,0.235
TMA-ZAIN-G-96,MBC,0.956,0.044
TMA-ZAIN-G-97,MBC,0.978,0.022
TMA-ZAIN-G-98,MBC,0.944,0.056
TMA-ZAIN-G-99,MBC,0.983,0.017
TMA-ZAIN-G-101,MBC,0.992,0.008
TMA-ZAIN-G-102,MBC,0.993,0.007
TMA-ZAIN-G-103,MBC,0.993,0.007
TMA-ZAIN-G-104,MBC,0.993,0.007
TMA-ZAIN-G-105,MBC,0.943,0.057
TMA-ZAIN-G-106,MBC,0.992,0.008
TMA-ZAIN-G-107,MBC,0.994,0.006
TMA-ZAIN-G-108,MBC,0.991,0.009
