Ind,Botanic_Garden,First_Pop,First_Per,Wild_Source,Second_Pop,Second_Per,Third_Pop,Third_Per,Fourth_Pop,Fourth_Per
QAc-G-0001,/BTRL,Magazine,99.981,NA,Pryor,0.019,Porter,0,Sugar_Loaf,0
QAc-G-0002,/BTRL,Magazine,99.998,NA,Porter,0.001,Pryor,0,Sugar_Loaf,0
QAc-G-0003,/MBG,Magazine,99.47,NA,Porter,0.5,Pryor,0.03,Sugar_Loaf,0
QAc-G-0004,/MBG,Magazine,100,NA,Sugar_Loaf,0,Pryor,0,Porter,0
QAc-G-0005,/MBG,Pryor,69.631,NA,Magazine,28.564,Porter,1.805,Sugar_Loaf,0
QAc-G-0006,/MBG,Magazine,100,NA,Sugar_Loaf,0,Porter,0,Pryor,0
QAc-G-0010,/TMA,Magazine,99.967,NA,Porter,0.033,Pryor,0.001,Sugar_Loaf,0
QAc-G-0011,/TMA,Porter,95.322,NA,Pryor,4.602,Magazine,0.077,Sugar_Loaf,0
QAc-G-0015,/TMA,Pryor,99.793,NA,Magazine,0.206,Sugar_Loaf,0.001,Porter,0
QAc-G-0016,/HBG,Magazine,99.999,NA,Sugar_Loaf,0.001,Pryor,0,Porter,0
QAc-G-0017,/HBG,Magazine,88.844,Porter,Pryor,10.321,Porter,0.457,Sugar_Loaf,0.378
QAc-G-0018,/HBG,Pryor,57.183,Porter,Magazine,42.765,Porter,0.051,Sugar_Loaf,0
QAc-G-0019,/HBG,Pryor,92.597,Porter,Porter,7.263,Magazine,0.14,Sugar_Loaf,0
QAc-G-0020,/HBG,Magazine,99.829,Porter,Porter,0.171,Pryor,0,Sugar_Loaf,0
QAc-G-0021,/HBG,Porter,91.423,Pryor,Magazine,8.563,Sugar_Loaf,0.014,Pryor,0
QAc-G-0022,/HBG,Sugar_Loaf,98.798,Pryor,Porter,1.202,Pryor,0,Magazine,0
QAc-G-0023,/HBG,Pryor,100,Pryor,Sugar_Loaf,0,Magazine,0,Porter,0
QAc-G-0024,/HBG,Pryor,52.55,Pryor,Magazine,46.883,Porter,0.567,Sugar_Loaf,0
QAc-G-0025,/USNA,Magazine,95.071,Magazine,Pryor,4.929,Porter,0,Sugar_Loaf,0
QAc-G-0028,/USNA,Pryor,98.736,Porter,Magazine,1.047,Porter,0.216,Sugar_Loaf,0.001
QAc-G-0029,/AP,Magazine,99.999,Pryor,Porter,0.001,Pryor,0,Sugar_Loaf,0
QAc-G-0030,/AP,Pryor,70.011,Pryor,Magazine,29.708,Porter,0.281,Sugar_Loaf,0
QAc-G-0031,/AP,Porter,86.838,Pryor,Magazine,12.612,Pryor,0.55,Sugar_Loaf,0
QAc-G-0032,/DBG,Magazine,100,Magazine,Porter,0,Pryor,0,Sugar_Loaf,0
QAc-G-0033,/DBG,Magazine,100,Porter,Porter,0,Pryor,0,Sugar_Loaf,0
QAc-G-0034,/DBG,Magazine,80.704,Porter,Pryor,17.924,Porter,1.372,Sugar_Loaf,0
QAc-G-0035,/DBG,Magazine,65.813,Porter,Pryor,34.187,Porter,0,Sugar_Loaf,0
QAc-G-0036,/DBG,Porter,92.214,Porter,Pryor,7.757,Sugar_Loaf,0.027,Magazine,0.003
QAc-G-0037,/DBG,Magazine,99.493,Porter,Pryor,0.404,Sugar_Loaf,0.053,Porter,0.05
QAc-G-0038,/DBG,Magazine,99.997,Porter,Sugar_Loaf,0.003,Porter,0,Pryor,0
QAc-G-0039,/DBG,Sugar_Loaf,68.263,Porter,Porter,20.926,Magazine,10.81,Pryor,0.001
QAc-G-0040,/DBG,Magazine,99.18,Porter,Porter,0.819,Pryor,0,Sugar_Loaf,0
QAc-G-0041,/DBG,Magazine,99.757,Porter,Pryor,0.24,Porter,0.003,Sugar_Loaf,0
QAc-G-0042,/DBG,Magazine,99.723,Porter,Pryor,0.246,Sugar_Loaf,0.032,Porter,0
QAc-G-0043,/DBG,Magazine,82.769,Porter,Pryor,8.641,Porter,8.185,Sugar_Loaf,0.405
QAc-G-0044,/DBG,Magazine,99.827,Porter,Porter,0.114,Pryor,0.059,Sugar_Loaf,0
QAc-G-0045,/DBG,Magazine,84.516,Porter,Pryor,15.475,Porter,0.007,Sugar_Loaf,0.002
QAc-G-0046,/DBG,Porter,78.089,Porter,Magazine,21.905,Sugar_Loaf,0.006,Pryor,0
QAc-G-0047,/DBG,Pryor,84.944,Porter,Magazine,15.052,Porter,0.004,Sugar_Loaf,0
QAc-G-0048,/DBG,Sugar_Loaf,60.065,Porter,Magazine,28.224,Porter,11.69,Pryor,0.022
QAc-G-0049,/DBG,Magazine,100,Pryor,Porter,0,Pryor,0,Sugar_Loaf,0
QAc-G-0050,/DBG,Magazine,99.802,Pryor,Sugar_Loaf,0.145,Porter,0.052,Pryor,0.001
QAc-G-0051,/DBG,Magazine,70.39,Pryor,Pryor,29.162,Porter,0.448,Sugar_Loaf,0
QAc-G-0052,/DBG,Magazine,99.986,Pryor,Pryor,0.014,Porter,0,Sugar_Loaf,0
QAc-G-0053,/DBG,Magazine,99.633,Pryor,Porter,0.306,Pryor,0.054,Sugar_Loaf,0.006
QAc-G-0054,/DBG,Sugar_Loaf,84.841,Pryor,Pryor,14.042,Magazine,1.112,Porter,0.005
QAc-G-0055,/DBG,Magazine,99.978,Pryor,Sugar_Loaf,0.021,Pryor,0.001,Porter,0
QAc-G-0056,/DBG,Magazine,99.982,Pryor,Porter,0.018,Pryor,0.001,Sugar_Loaf,0
QAc-G-0057,/DBG,Magazine,99.997,Pryor,Pryor,0.003,Porter,0,Sugar_Loaf,0
QAc-G-0058,/DBG,Pryor,99.979,Pryor,Porter,0.015,Magazine,0.006,Sugar_Loaf,0
QAc-G-0059,/DBG,Magazine,99.978,Pryor,Sugar_Loaf,0.022,Pryor,0,Porter,0
QAc-G-0060,/DBG,Magazine,87.818,Pryor,Porter,12.182,Sugar_Loaf,0,Pryor,0
QAc-G-0061,/AA,Magazine,56.536,NA,Porter,40.902,Pryor,2.563,Sugar_Loaf,0
QAc-G-0062,/AA,Pryor,98.478,NA,Magazine,1.52,Porter,0.002,Sugar_Loaf,0
QAc-G-0063,/AA,Magazine,50.934,NA,Pryor,24.89,Porter,24.176,Sugar_Loaf,0
QAc-G-0064,/AA,Pryor,99.895,Magazine,Porter,0.104,Magazine,0.001,Sugar_Loaf,0
QAc-G-0065,/AA,Pryor,99.995,Magazine,Porter,0.003,Magazine,0.001,Sugar_Loaf,0
QAc-G-0066,/AA,Magazine,83.322,Magazine,Pryor,12.584,Porter,4.094,Sugar_Loaf,0
QAc-G-0067,/AA,Magazine,99.995,Magazine,Pryor,0.005,Porter,0,Sugar_Loaf,0
QAc-G-0068,/AA,Porter,61.536,Magazine,Magazine,38.458,Pryor,0.006,Sugar_Loaf,0
QAc-G-0070,/AA,Magazine,87.933,Magazine,Porter,7.237,Pryor,4.83,Sugar_Loaf,0
QAc-G-0071,/AA,Magazine,62.614,Magazine,Pryor,36.88,Porter,0.506,Sugar_Loaf,0
QAc-G-0072,/AA,Porter,71.695,Magazine,Magazine,26.845,Pryor,1.46,Sugar_Loaf,0
