"","Ind","MLG","NAll","All_Rich","Hexp"
"MBC",303,303,72,2.28,0.576
"MSBG",15,15,44,2.17,0.538
"AA",2,2,21,1.91,0.424
"HBG",2,2,24,2.18,0.5
"FTBG",7,7,40,2.28,0.549
"UCBBG",13,13,39,2.16,0.547
"GWL",13,13,24,1.61,0.323
"HPLG",7,7,30,1.9,0.427
"NBG",11,11,40,2.08,0.497
"KWTFBG",9,9,39,2.17,0.536
"ZFB",5,5,31,2.1,0.533
"ZFBP1",6,6,28,1.81,0.375
"ZFBP2",9,9,31,1.9,0.428
"ZFCC",8,8,25,1.63,0.324
"ZFCNS",10,10,19,1.44,0.226
"ZFCR",8,8,41,2.4,0.627
"ZFENP",6,6,36,2.12,0.515
"ZFFDSP",12,12,28,1.76,0.376
"ZFI",9,9,23,1.63,0.343
"ZFONF1",5,5,24,1.79,0.384
"ZFONF2",9,9,29,1.84,0.386
"ZFO",8,8,29,1.87,0.438
"ZFBP",5,5,18,1.4,0.21
"ZFSW1",6,6,30,1.99,0.474
"ZFSW2",11,11,22,1.47,0.242
"ZFTS",7,7,22,1.73,0.4
"ZFTSP1",10,10,27,1.82,0.42
"ZFTSP2",8,8,30,1.9,0.442
"ZFWB",8,8,31,1.87,0.43
"ZCF",8,8,36,2.09,0.5
