Ind,Botanic_Garden,Wild_Source,First_Pop,First_Per,Second_Pop,Second_Per,Third_Pop,Third_Per,Fourth_Pop,Fourth_Per
QAc-G-0001,/BTRL,NA,Magazine,99.331,Pryor,0.657,Porter,0.012,Sugar_Loaf,0
QAc-G-0002,/BTRL,NA,Magazine,99.199,Pryor,0.729,Porter,0.072,Sugar_Loaf,0
QAc-G-0003,/MBG,Magazine,Pryor,60.773,Magazine,38.594,Porter,0.633,Sugar_Loaf,0
QAc-G-0004,/MBG,Magazine,Magazine,99.999,Pryor,0.001,Sugar_Loaf,0,Porter,0
QAc-G-0005,/MBG,Magazine,Pryor,87.576,Magazine,6.547,Porter,5.878,Sugar_Loaf,0
QAc-G-0006,/MBG,Magazine,Magazine,99.961,Porter,0.025,Sugar_Loaf,0.014,Pryor,0
QAc-G-0010,/TMA,Porter,Magazine,88.108,Pryor,7.133,Porter,4.759,Sugar_Loaf,0
QAc-G-0011,/TMA,Pryor,Porter,69.596,Pryor,29.693,Magazine,0.711,Sugar_Loaf,0
QAc-G-0015,/TMA,Pryor,Pryor,95.953,Magazine,4.04,Sugar_Loaf,0.004,Porter,0.004
QAc-G-0016,/HBG,Porter,Magazine,99.782,Pryor,0.169,Porter,0.043,Sugar_Loaf,0.006
QAc-G-0017,/HBG,Porter,Magazine,56.977,Pryor,40.348,Porter,2.64,Sugar_Loaf,0.034
QAc-G-0018,/HBG,Porter,Pryor,65.929,Magazine,33.943,Porter,0.128,Sugar_Loaf,0
QAc-G-0019,/HBG,Porter,Pryor,96.502,Porter,3.187,Magazine,0.311,Sugar_Loaf,0
QAc-G-0020,/HBG,Porter,Magazine,98.676,Porter,1.179,Pryor,0.145,Sugar_Loaf,0
QAc-G-0021,/HBG,Pryor,Porter,69.052,Magazine,30.876,Pryor,0.057,Sugar_Loaf,0.015
QAc-G-0022,/HBG,Pryor,Porter,91.295,Sugar_Loaf,5.547,Magazine,2.85,Pryor,0.309
QAc-G-0023,/HBG,Pryor,Pryor,99.996,Magazine,0.003,Porter,0.001,Sugar_Loaf,0
QAc-G-0024,/HBG,Pryor,Pryor,61.216,Magazine,37.578,Porter,1.206,Sugar_Loaf,0
QAc-G-0025,/USNA,Magazine,Magazine,88.163,Pryor,11.827,Porter,0.01,Sugar_Loaf,0
QAc-G-0028,/USNA,Porter,Pryor,90.042,Magazine,9.824,Porter,0.133,Sugar_Loaf,0
QAc-G-0029,/AP,Pryor,Magazine,99.987,Porter,0.012,Pryor,0.002,Sugar_Loaf,0
QAc-G-0030,/AP,Pryor,Pryor,77.595,Magazine,21.801,Porter,0.604,Sugar_Loaf,0
QAc-G-0031,/AP,Pryor,Pryor,77.257,Porter,12.546,Magazine,10.197,Sugar_Loaf,0
QAc-G-0032,/DBG,Magazine,Magazine,99.913,Pryor,0.086,Porter,0.001,Sugar_Loaf,0
QAc-G-0033,/DBG,Porter,Magazine,99.736,Pryor,0.187,Porter,0.078,Sugar_Loaf,0
QAc-G-0034,/DBG,Porter,Magazine,90.052,Pryor,9.734,Porter,0.214,Sugar_Loaf,0
QAc-G-0035,/DBG,Porter,Pryor,83.572,Magazine,16.427,Porter,0.002,Sugar_Loaf,0
QAc-G-0036,/DBG,Porter,Pryor,54.414,Porter,44.616,Magazine,0.932,Sugar_Loaf,0.038
QAc-G-0037,/DBG,Porter,Magazine,97.235,Pryor,2.56,Porter,0.189,Sugar_Loaf,0.016
QAc-G-0038,/DBG,Porter,Magazine,99.897,Pryor,0.078,Porter,0.023,Sugar_Loaf,0.002
QAc-G-0039,/DBG,Porter,Porter,73.313,Magazine,22.626,Sugar_Loaf,3.956,Pryor,0.105
QAc-G-0040,/DBG,Porter,Magazine,98.981,Pryor,0.524,Porter,0.495,Sugar_Loaf,0
QAc-G-0041,/DBG,Porter,Magazine,75.584,Pryor,24.288,Porter,0.128,Sugar_Loaf,0
QAc-G-0042,/DBG,Porter,Magazine,92.645,Pryor,7.312,Porter,0.025,Sugar_Loaf,0.019
QAc-G-0043,/DBG,Porter,Magazine,72.667,Pryor,24.772,Porter,2.469,Sugar_Loaf,0.092
QAc-G-0044,/DBG,Porter,Magazine,84.757,Pryor,12.145,Porter,3.098,Sugar_Loaf,0
QAc-G-0045,/DBG,Porter,Pryor,59.67,Magazine,40.23,Porter,0.1,Sugar_Loaf,0
QAc-G-0046,/DBG,Porter,Magazine,59.492,Porter,40.186,Pryor,0.316,Sugar_Loaf,0.006
QAc-G-0047,/DBG,Porter,Pryor,64.327,Magazine,35.412,Porter,0.259,Sugar_Loaf,0.002
QAc-G-0048,/DBG,Porter,Magazine,89.1,Porter,10.536,Sugar_Loaf,0.289,Pryor,0.075
QAc-G-0049,/DBG,Pryor,Magazine,99.929,Pryor,0.055,Porter,0.016,Sugar_Loaf,0
QAc-G-0050,/DBG,Pryor,Magazine,98.902,Porter,0.884,Pryor,0.194,Sugar_Loaf,0.02
QAc-G-0051,/DBG,Pryor,Pryor,88.752,Magazine,11.082,Porter,0.166,Sugar_Loaf,0
QAc-G-0052,/DBG,Pryor,Magazine,82.118,Pryor,17.834,Porter,0.047,Sugar_Loaf,0.001
QAc-G-0053,/DBG,Pryor,Magazine,97.607,Pryor,1.441,Porter,0.95,Sugar_Loaf,0.001
QAc-G-0054,/DBG,Pryor,Pryor,77.199,Magazine,19.412,Sugar_Loaf,2.908,Porter,0.481
QAc-G-0055,/DBG,Pryor,Magazine,99.152,Sugar_Loaf,0.401,Pryor,0.342,Porter,0.104
QAc-G-0056,/DBG,Pryor,Magazine,99.449,Pryor,0.365,Porter,0.186,Sugar_Loaf,0.001
